pid,grdatn,age,state,natvty,msafp,year,immigr,se15u,ind2
710404810964514 4011 32010,38,50,86,315,38060,2017,1,1,8880
744132101952005 5011 321 1,40,55,86,57,38060,2017,0,1,6970
811341055400478 6011 22111,37,31,86,303,38060,2017,1,1,770
901023143410566 5011 121 1,41,63,86,57,38060,2017,0,1,8680
901053143410266 6011 122 1,39,47,86,303,38060,2017,1,1,8780
902024398410364 5011 121 1,43,62,86,57,38060,2017,0,1,8680
944960601156005 6011 12112,31,29,86,303,38060,2017,1,1,7770
416277507574 6011 12111,40,48,86,57,38060,2017,0,1,770
1710312048416 5012 12012,40,48,86,57,46060,2017,0,1,770
61040315059413 6011 22110,43,50,86,57,38060,2017,0,1,8180
140844150801741 6011 12112,40,54,86,119,38060,2017,1,1,770
141630040410667 4011 22010,40,50,86,57,38060,2017,0,1,7070
165150040579406 6011 12110,39,52,86,57,38060,2017,0,1,7690
274947601471009 6011 22110,40,30,86,57,38060,2017,0,1,8990
371446040100438 6011 222 1,45,43,86,57,38060,2017,0,1,7270
452084773008241 6011 12111,43,56,86,57,38060,2017,0,1,3990
469740366101500 6011 122 1,39,53,86,57,38060,2017,0,1,170
591643012700756 4011 22011,43,41,86,57,38060,2017,0,1,7690
621445009700768 5011 12012,36,36,86,57,38060,2017,0,1,8870
704574701475005 6011 22110,43,61,86,57,38060,2017,0,1,770
706066141410930 6011 12110,43,46,86,57,38060,2017,0,1,7370
710404810184514 6011 12112,43,36,86,57,38060,2017,0,1,8590
710404810184514 6011 22112,43,36,86,57,38060,2017,0,1,9090
910108170071654 6011 22111,43,30,86,57,46060,2017,0,1,9090
411308651600 6011 12112,43,29,86,303,49740,2017,1,1,5275
411873168317 4011 12010,40,41,86,57,49740,2017,0,1,5690
8990715014460 6011 12112,43,36,86,57,39140,2017,0,1,6170
8990715014460 6011 22112,39,42,86,57,39140,2017,0,1,6170
18410915090439 4011 12011,43,53,86,57,0,2017,0,1,770
92064741007281 6011 12111,38,55,86,303,0,2017,1,1,770
102006399410851 6011 22112,39,61,86,57,39140,2017,0,1,2870
112770040042672 5011 12012,43,56,86,57,0,2017,0,1,1990
340555180905204 4011 12010,40,44,86,57,39140,2017,0,1,7380
410001270895134 6011 12111,40,48,86,57,0,2017,0,1,9090
454370402621000 5011 121 1,40,32,86,57,39140,2017,0,1,770
604000419410598 6011 122 1,39,49,86,57,0,2017,0,1,770
610006880396174 6011 122 1,39,55,86,57,39140,2017,0,1,2870
810007130092654 5011 12012,39,52,86,303,49740,2017,1,1,4690
510959462218 6011 12110,44,63,71,57,30780,2017,0,1,6680
50662140201404 5111 22012,45,35,71,57,22220,2017,0,1,7980
169280050094510 5111 121 1,39,51,71,57,22220,2017,0,1,8470
183250050076728 5011 32012,39,37,71,57,22220,2017,0,1,8980
404006042510126 5111 12012,43,34,71,57,22220,2017,0,1,7070
506180463051000 6011 12110,43,52,71,57,0,2017,0,1,770
550388180208807 4012 22011,43,56,71,57,0,2017,0,1,9090
550388180208807 4012 52011,43,56,71,57,0,2017,0,1,9090
550388180208807 4012 62011,43,56,71,57,0,2017,0,1,9090
550388180208807 4012 32011,43,57,71,57,0,2017,0,1,9090
550388180208807 4012 42011,43,57,71,57,0,2017,0,1,9090
572880572361000 5012 12012,39,34,71,57,22220,2017,0,1,6380
610002310638425 6111 12110,44,48,71,57,22220,2017,0,1,8680
621659005200485 6111 12112,43,35,71,57,30780,2017,0,1,4670
621659005200485 6111 22112,43,33,71,57,30780,2017,0,1,4670
731758008500622 5011 12012,39,53,71,57,22220,2017,0,1,770
810003840449375 4111 22011,44,44,71,57,22220,2017,0,1,3980
945328301850000 6011 22112,45,61,71,57,30780,2017,0,1,7980
991053002300194 5011 12012,43,48,71,57,30780,2017,0,1,7370
510657252845 6111 12112,40,48,71,57,30780,2017,0,1,1280
8320511077541 4011 12011,43,30,71,57,30780,2017,0,1,5590
28045709003881 5111 121 1,39,56,71,57,30780,2017,0,1,770
41015975003051 6111 12110,39,49,71,57,0,2017,0,1,770
47085741002061 4011 12010,39,32,71,57,30780,2017,0,1,7770
50545180101809 6011 12110,41,51,71,57,0,2017,0,1,170
66095726007011 6011 222 1,39,32,71,57,22220,2017,0,1,8680
110002520459095 4011 12011,40,47,71,57,0,2017,0,1,770
123870050008861 4111 12010,40,59,71,57,30780,2017,0,1,2370
168620050072017 6011 22111,43,27,71,57,30780,2017,0,1,5295
195940050081803 4011 22011,39,52,71,57,30780,2017,0,1,5490
250529100504109 4011 12011,40,50,71,57,0,2017,0,1,4670
510009940909855 5011 221 1,39,49,71,57,30780,2017,0,1,6170
554400736451000 6111 12112,40,33,71,57,0,2017,0,1,770
560820247131000 6111 12112,41,26,71,57,30780,2017,0,1,8980
585420836121000 6011 12111,40,50,71,57,22220,2017,0,1,8560
645760701480000 5111 12012,39,50,71,57,30780,2017,0,1,770
665455901820002 4111 12011,43,55,71,57,30780,2017,0,1,6680
810003450440235 5011 12012,43,61,71,57,30780,2017,0,1,770
810003840769375 6011 22111,39,39,71,57,22220,2017,0,1,770
