"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","INDUS","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"69",47260,545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","M1",1,"G3110",6972345097,3214108085,36.8560812,-76.3737908,142,288,14,770,3163,10,9.10527979766045,4.48940878912425,0.442617767941827
"70",48060,NA,48060,"Watertown-Fort Drum, NY","Watertown-Fort Drum, NY Metro Area","M1",1,"G3110",3285858287,1524359917,43.9965164,-76.0529023,16,30,0,770,622,4,4.82315112540193,2.57234726688103,0
"71",46540,NA,46540,"Utica-Rome, NY","Utica-Rome, NY Metro Area","M1",1,"G3110",6795981620,237487618,43.3322887,-75.173169,33,30,6,6170,601,10,4.99168053244592,5.49084858569052,0.998336106489185
"72",47220,428,47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ Metro Area","M1",1,"G3110",1252937239,502091171,39.3283874,-75.1216435,3,58,2,7690,233,10,24.8927038626609,1.28755364806867,0.858369098712446
"73",45940,408,45940,"Trenton, NJ","Trenton, NJ Metro Area","M1",1,"G3110",581629671,11189320,40.2825027,-74.703724,32,239,8,7270,686,10,34.8396501457726,4.66472303206997,1.16618075801749
"74",36420,416,36420,"Oklahoma City, OK","Oklahoma City, OK Metro Area","M1",1,"G3110",14275025160,181554378,35.4309676,-97.5069659,359,432,54,770,4462,10,9.68175705961452,8.04571940833707,1.21021963245182
"75",39540,376,39540,"Racine, WI","Racine, WI Metro Area","M1",1,"G3110",861267826,1190381792,42.7540747,-87.414676,19,44,4,1590,530,10,8.30188679245283,3.58490566037736,0.754716981132076
"76",38900,440,38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area","M1",1,"G3110",17311313130,356212910,45.6006204,-122.4843457,686,1231,122,770,7900,10,15.5822784810127,8.68354430379747,1.54430379746835
"77",34580,500,34580,"Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA Metro Area","M1",1,"G3110",4483833372,489315214,48.4932917,-121.8157703,58,84,12,7770,776,10,10.8247422680412,7.47422680412371,1.54639175257732
"78",37100,348,37100,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA Metro Area","M1",1,"G3110",4773381391,945947791,34.3587415,-119.1331432,138,378,33,7890,1565,10,24.1533546325879,8.81789137380192,2.10862619808307
"79",36260,482,36260,"Ogden-Clearfield, UT","Ogden-Clearfield, UT Metro Area","M1",1,"G3110",18725460886,3639530112,41.6218833,-113.0436525,177,237,9,770,2926,10,8.09979494190021,6.04921394395079,0.307587149692413
"80",39140,NA,39140,"Prescott, AZ","Prescott, AZ Metro Area","M1",1,"G3110",21039920080,11501575,34.6312117,-112.5773855,47,40,7,770,427,10,9.36768149882904,11.0070257611241,1.63934426229508
"81",39340,482,39340,"Provo-Orem, UT","Provo-Orem, UT Metro Area","M1",1,"G3110",13973702153,400847890,39.872067,-112.3590592,174,278,17,770,2629,10,10.5743628756181,6.61848611639407,0.646633701027006
"82",39340,482,39340,"Provo-Orem, UT","Provo-Orem, UT Metro Area","M1",1,"G3110",13973702153,400847890,39.872067,-112.3590592,174,278,17,7070,2629,10,10.5743628756181,6.61848611639407,0.646633701027006
"83",38060,NA,38060,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area","M1",1,"G3110",37723752759,86675785,33.1857653,-112.0678624,635,1829,175,770,9124,10,20.0460324419114,6.9596668128014,1.91801841297676
"84",36220,372,36220,"Odessa, TX","Odessa, TX Metro Area","M1",1,"G3110",2325094451,10597923,31.8653008,-102.5425068,34,95,11,8870,498,10,19.0763052208835,6.82730923694779,2.20883534136546
"85",36220,372,36220,"Odessa, TX","Odessa, TX Metro Area","M1",1,"G3110",2325094451,10597923,31.8653008,-102.5425068,34,95,11,6170,498,10,19.0763052208835,6.82730923694779,2.20883534136546
"86",36540,420,36540,"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA Metro Area","M1",1,"G3110",11266396052,148188348,41.2904587,-95.9999701,320,423,31,770,4829,10,8.75957755228826,6.62663077241665,0.641954856077863
"87",38220,340,38220,"Pine Bluff, AR","Pine Bluff, AR Metro Area","M1",1,"G3110",5257911386,141461901,34.0812083,-91.9457289,53,55,8,8680,1568,10,3.50765306122449,3.38010204081633,0.510204081632653
"88",38220,340,38220,"Pine Bluff, AR","Pine Bluff, AR Metro Area","M1",1,"G3110",5257911386,141461901,34.0812083,-91.9457289,53,55,8,7980,1568,10,3.50765306122449,3.38010204081633,0.510204081632653
"89",35380,406,35380,"New Orleans-Metairie, LA","New Orleans-Metairie, LA Metro Area","M1",1,"G3110",8293551780,12101115061,29.805532,-89.7013821,431,482,74,770,5264,10,9.1565349544073,8.18768996960486,1.40577507598784
"90",37900,426,37900,"Peoria, IL","Peoria, IL Metro Area","M1",1,"G3110",6399733016,121934958,40.7882548,-89.514745,32,27,4,770,732,10,3.68852459016393,4.37158469945355,0.546448087431694
"91",36780,118,36780,"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI Metro Area","M1",1,"G3110",1125314828,373176432,44.0857068,-88.6681488,20,4,0,180,343,10,1.16618075801749,5.83090379008746,0
"92",37860,NA,37860,"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL Metro Area","M1",1,"G3110",4321779039,983764582,30.6554013,-87.1618275,42,54,2,7770,823,10,6.56136087484812,5.10328068043742,0.243013365735115
"93",34980,400,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","M1",1,"G3110",16321410263,197967875,36.0885065,-86.7266015,411,487,45,770,4953,10,9.83242479305471,8.29800121138704,0.908540278619019
"94",35660,515,35660,"Niles-Benton Harbor, MI","Niles-Benton Harbor, MI Metro Area","M1",1,"G3110",1470458178,2625533765,41.7926389,-86.7418216,17,24,0,770,406,10,5.91133004926108,4.1871921182266,0
"95",34740,266,34740,"Muskegon, MI","Muskegon, MI Metro Area","M1",1,"G3110",1295054226,2486391831,43.2892579,-86.751892,17,8,0,8470,492,10,1.6260162601626,3.45528455284553,0
"96",37460,NA,37460,"Panama City, FL","Panama City, FL Metro Area","M1",1,"G3110",3398182520,1205718482,30.1010953,-85.4749707,19,43,11,770,531,10,8.09792843691149,3.57815442561205,2.07156308851224
"97",37460,NA,37460,"Panama City, FL","Panama City, FL Metro Area","M1",1,"G3110",3398182520,1205718482,30.1010953,-85.4749707,19,43,11,6390,531,10,8.09792843691149,3.57815442561205,2.07156308851224
"98",35840,412,35840,"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL Metro Area","M1",1,"G3110",3364246958,826435641,27.3642465,-82.3193366,97,209,25,770,1303,10,16.039907904835,7.44435917114351,1.91864927091328
"99",36100,NA,36100,"Ocala, FL","Ocala, FL Metro Area","M1",1,"G3110",4112985503,193293405,29.2028047,-82.0431004,70,78,11,7290,579,10,13.4715025906736,12.0898100172712,1.89982728842832
"100",34940,162,34940,"Naples-Immokalee-Marco Island, FL","Naples-Immokalee-Marco Island, FL Metro Area","M1",1,"G3110",5176959832,792901545,26.118786,-81.4009553,89,210,29,770,660,10,31.8181818181818,13.4848484848485,4.39393939393939
"101",36740,422,36740,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area","M1",1,"G3110",9012049786,1377779539,28.434348,-81.3558763,353,1131,114,770,4823,10,23.4501347708895,7.31909599834128,2.36367406178727
"102",37340,NA,37340,"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL Metro Area","M1",1,"G3110",2629960540,1402786334,28.2983043,-80.7003309,60,64,5,7770,1009,10,6.34291377601586,5.94648166501487,0.495540138751239
"103",38940,370,38940,"Port St. Lucie, FL","Port St. Lucie, FL Metro Area","M1",1,"G3110",2888882297,843124181,27.2326989,-80.4267701,66,180,25,770,721,10,24.9653259361997,9.15395284327323,3.46740638002774
"104",38300,430,38300,"Pittsburgh, PA","Pittsburgh, PA Metro Area","M1",1,"G3110",13678958451,157924987,40.4343378,-79.8280615,223,207,12,770,4727,10,4.3790987941612,4.71757986037656,0.253860799661519
"105",34820,396,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","M1",1,"G3110",5136165448,833808418,33.9690951,-78.6127235,67,54,12,770,903,10,5.98006644518272,7.41971207087486,1.32890365448505
"106",37980,428,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","M1",1,"G3110",11920145588,693341961,39.8951304,-75.3120032,890,2197,175,770,15362,10,14.3015232391616,5.79351646920974,1.13917458664236
"107",35620,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area","M1",1,"G3110",21478408908,6689374328,40.8987884,-73.9031302,2274,12611,723,770,37968,10,33.214812473662,5.98925410872314,1.90423514538559
"108",35300,408,35300,"New Haven-Milford, CT","New Haven-Milford, CT Metro Area","M1",1,"G3110",1565645638,667096946,41.3497173,-72.9002037,114,369,22,770,2139,10,17.2510518934081,5.32959326788219,1.02851799906498
"109",35980,278,35980,"Norwich-New London, CT","Norwich-New London, CT Metro Area","M1",1,"G3110",1722641876,276619712,41.4726514,-72.1086329,30,104,5,6990,647,10,16.0741885625966,4.63678516228748,0.772797527047913
"110",35980,278,35980,"Norwich-New London, CT","Norwich-New London, CT Metro Area","M1",1,"G3110",1722641876,276619712,41.4726514,-72.1086329,30,104,5,770,647,10,16.0741885625966,4.63678516228748,0.772797527047913
"111",35980,278,35980,"Norwich-New London, CT","Norwich-New London, CT Metro Area","M1",1,"G3110",1722641876,276619712,41.4726514,-72.1086329,30,104,5,7990,647,10,16.0741885625966,4.63678516228748,0.772797527047913
"112",35980,278,35980,"Norwich-New London, CT","Norwich-New London, CT Metro Area","M1",1,"G3110",1722641876,276619712,41.4726514,-72.1086329,30,104,5,7390,647,10,16.0741885625966,4.63678516228748,0.772797527047913
"113",39300,148,39300,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area","M1",1,"G3110",4110362048,1681136832,41.7016138,-71.2892856,545,1628,72,770,9634,10,16.8984845339423,5.65704795515881,0.747353124351256
"114",38860,438,38860,"Portland-South Portland, ME","Portland-South Portland, ME Metro Area","M1",1,"G3110",5388280775,2011849387,43.6514172,-70.4183755,415,131,6,770,3387,10,3.86772955417774,12.2527310304104,0.177147918511957
"115",33460,378,33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","M1",1,"G3110",19781159640,1248717247,45.0612031,-93.3515965,513,1009,39,770,7731,10,13.0513517009443,6.63562281722934,0.504462553356616
"116",33340,376,33340,"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI Metro Area","M1",1,"G3110",3767864626,4835860493,43.0176524,-87.4815485,190,320,36,770,3373,10,9.48710346872221,5.63296768455381,1.06729914023125
"117",21660,NA,21660,"Eugene, OR","Eugene, OR Metro Area","M1",1,"G3110",11792794737,436681302,43.9283286,-122.8976901,104,126,3,8680,1063,10,11.8532455315146,9.78363123236124,0.282220131702728
"118",32780,366,32780,"Medford, OR","Medford, OR Metro Area","M1",1,"G3110",7209372699,46860852,42.4116284,-122.6756846,103,121,18,770,892,10,13.5650224215247,11.5470852017937,2.01793721973094
"119",33700,382,33700,"Modesto, CA","Modesto, CA Metro Area","M1",1,"G3110",3870867629,51101821,37.5623842,-121.0026557,40,282,18,770,1041,10,27.0893371757925,3.84245917387128,1.72910662824208
"120",25260,546,25260,"Hanford-Corcoran, CA","Hanford-Corcoran, CA Metro Area","M1",1,"G3110",3598582456,5468555,36.072478,-119.8155301,23,216,3,170,731,10,29.5485636114911,3.14637482900137,0.410396716826265
