"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"65",45940,408,45940,"Trenton, NJ","Trenton, NJ Metro Area","M1",1,"G3110",581629671,11189320,40.2825027,-74.703724,26,137,18,"8680",654,20.9480122324159,3.97553516819572,2.75229357798165
"66",36420,416,36420,"Oklahoma City, OK","Oklahoma City, OK Metro Area","M1",1,"G3110",14275025160,181554378,35.4309676,-97.5069659,378,340,16,"770",4212,8.07217473884141,8.97435897435897,0.379867046533713
"67",39540,376,39540,"Racine, WI","Racine, WI Metro Area","M1",1,"G3110",861267826,1190381792,42.7540747,-87.414676,58,116,4,"770",898,12.9175946547884,6.45879732739421,0.44543429844098
"68",36500,500,36500,"Olympia-Tumwater, WA","Olympia-Tumwater, WA Metro Area","M1",1,"G3110",1869969897,133393179,46.9358216,-122.8301524,45,60,0,"770",822,7.2992700729927,5.47445255474453,0
"69",38900,440,38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area","M1",1,"G3110",17311313130,356212910,45.6006204,-122.4843457,734,954,107,"770",7572,12.5990491283677,9.69360802958267,1.41310089804543
"70",34900,488,34900,"Napa, CA","Napa, CA Metro Area","M1",1,"G3110",1938262912,104154062,38.5070999,-122.3259045,40,76,1,"770",432,17.5925925925926,9.25925925925926,0.231481481481481
"71",37100,348,37100,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA Metro Area","M1",1,"G3110",4773381391,945947791,34.3587415,-119.1331432,226,621,70,"770",2000,31.05,11.3,3.5
"72",36260,482,36260,"Ogden-Clearfield, UT","Ogden-Clearfield, UT Metro Area","M1",1,"G3110",18725460886,3639530112,41.6218833,-113.0436525,220,175,10,"770",2409,7.26442507264425,9.1324200913242,0.4151100041511
"73",39140,NA,39140,"Prescott, AZ","Prescott, AZ Metro Area","M1",1,"G3110",21039920080,11501575,34.6312117,-112.5773855,15,27,1,"770",316,8.54430379746835,4.74683544303798,0.316455696202532
"74",39340,482,39340,"Provo-Orem, UT","Provo-Orem, UT Metro Area","M1",1,"G3110",13973702153,400847890,39.872067,-112.3590592,197,248,21,"770",2135,11.615925058548,9.2271662763466,0.983606557377049
"75",38060,NA,38060,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area","M1",1,"G3110",37723752759,86675785,33.1857653,-112.0678624,556,1702,163,"770",8142,20.9039548022599,6.82878899533284,2.00196511913535
