NAME,ENTRE,IMMIG,ImmiEnter,TOTAL,GEOID,INTPTLAT,INTPTLON,IMMIGRate,EntreRate,ImmigOwnEntreRate,year,metro,state
"Yuma, AZ",31,297,7,778,49740,32.7739424,-113.910905,38.1748072,3.984575835,22.58064516,2016,Yuma,AZ
"Tucson, AZ",106,280,23,2101,46060,32.1285226,-111.7830267,13.32698715,5.045216564,21.69811321,2016,Tucson,AZ
"Wichita, KS",168,345,4,2641,48620,37.6298308,-97.3988319,13.06323362,6.361226808,2.380952381,2016,Wichita,KS
"Waco, TX",24,99,7,537,47380,31.4272264,-97.0934727,18.43575419,4.469273743,29.16666667,2016,Waco,TX
"Tulsa, OK",275,400,26,3488,46140,36.2541502,-96.1749783,11.46788991,7.884174312,9.454545455,2016,Tulsa,OK
"Topeka, KS",14,49,0,646,45820,39.0413888,-95.8026393,7.585139319,2.167182663,0,2016,Topeka,KS
"Tyler, TX",27,58,7,495,46340,32.3751061,-95.2687428,11.71717172,5.454545455,25.92592593,2016,Tyler,TX
"Waterloo-Cedar Falls, IA",86,33,4,918,47940,42.5367962,-92.471608,3.594771242,9.368191721,4.651162791,2016,Waterloo-Cedar Falls,IA
"Terre Haute, IN",36,4,0,428,45460,39.392389,-87.3470958,0.934579439,8.411214953,0,2016,Terre Haute,IN
"Tallahassee, FL",37,23,0,678,45220,30.3864276,-84.2804098,3.392330383,5.457227139,0,2016,Tallahassee,FL
"Toledo, OH",65,27,4,1356,45780,41.5439974,-83.6908887,1.991150442,4.793510324,6.153846154,2016,Toledo,OH
"Warner Robins, GA",24,36,10,400,47580,32.4015944,-83.6350953,9,6,41.66666667,2016,Warner Robins,GA
"Youngstown-Warren-Boardman, OH-PA",44,4,0,1093,49660,41.2363015,-80.5618679,0.365965233,4.025617566,0,2016,Youngstown-Warren-Boardman,OH-PA
"Winston-Salem, NC",57,143,7,1128,49180,36.0788515,-80.3450642,12.67730496,5.053191489,12.28070175,2016,Winston-Salem,NC
"Winchester, VA-WV",48,12,3,454,49020,39.2729744,-78.4718276,2.643171806,10.57268722,6.25,2016,Winchester,VA-WV
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1485,6557,423,28033,47900,38.8169283,-77.4482275,23.39029002,5.297328149,28.48484848,2016,Washington-Arlington-Alexandria,DC-VA-MD-WV
